n=20000
m=40000
from,to,cost
19406,9168,1
9168,15362,1
15362,15809,1
15809,17205,1
17205,3529,1
3529,470,1
470,8834,4
8834,1504,4
1504,11087,1
11087,2678,2
2678,5776,4
5776,2560,2
2560,6719,1
6719,6716,5
6716,15920,1
15920,9350,5
9350,18656,3
18656,19953,3
19953,5207,1
5207,1336,2
1336,1867,2
1867,9096,2
9096,8819,3
8819,13990,1
13990,1505,1
1505,13316,5
13316,8845,1
8845,17648,1
17648,4716,1
4716,11363,2
11363,5858,5
5858,2907,5
2907,6034,2
6034,803,1
803,2397,4
2397,12091,1
12091,9045,2
9045,260,2
260,8595,3
8595,11205,5
11205,3202,3
3202,16066,5
16066,14393,2
14393,16034,5
16034,17196,4
17196,13263,1
13263,17309,1
17309,6913,2
6913,4679,1
4679,11479,1
11479,19651,5
19651,4298,4
4298,15367,4
15367,19634,1
19634,9105,4
9105,1347,1
1347,864,5
864,10144,3
10144,5482,3
5482,15577,3
15577,3706,2
3706,6428,1
6428,12979,3
12979,7498,2
7498,17369,3
17369,16768,3
16768,3272,1
3272,10047,1
10047,2125,2
2125,1473,3
1473,3467,1
3467,8293,3
8293,11828,2
11828,8159,1
8159,19057,1
19057,15431,4
15431,8745,1
8745,3917,1
3917,13451,1
13451,17885,3
17885,7960,3
7960,670,3
670,7528,3
7528,8300,1
8300,8295,3
8295,15956,1
15956,3396,2
3396,18932,3
18932,1405,1
1405,13258,1
13258,19542,2
19542,14656,1
14656,2640,5
2640,1698,1
1698,1027,2
1027,955,5
955,10222,5
10222,9573,2
9573,13176,5
13176,5728,1
5728,9409,4
9409,747,1
747,4326,1
4326,7808,3
7808,402,3
402,5218,4
5218,18760,5
18760,11562,1
11562,2364,4
2364,14491,1
14491,9246,2
9246,12082,5
12082,13617,1
13617,5639,1
5639,15066,1
15066,9539,1
9539,18785,1
18785,10414,1
10414,14968,4
14968,3464,3
3464,7069,1
7069,4172,4
4172,12445,5
12445,9302,1
9302,627,4
627,13158,2
13158,8318,4
8318,11166,3
11166,12651,3
12651,6385,4
6385,19853,3
19853,5983,3
5983,1537,5
1537,3503,1
3503,19202,5
19202,10357,5
10357,6724,2
6724,5757,2
5757,15899,5
15899,10738,2
10738,1337,1
1337,11125,4
11125,11360,3
11360,1186,1
1186,1644,1
1644,3250,1
3250,3717,1
3717,384,1
384,10127,1
10127,6831,1
6831,1257,1
1257,7894,3
7894,17635,4
17635,6436,5
6436,15930,1
15930,921,1
921,1167,5
1167,17746,5
17746,1663,1
1663,15539,1
15539,1882,1
1882,4717,1
4717,2370,5
2370,19331,5
19331,19238,5
19238,4849,1
4849,10349,1
10349,16925,5
16925,11775,4
11775,182,1
182,3228,1
3228,8405,5
8405,4676,1
4676,13017,3
13017,16413,3
16413,4738,1
4738,18894,3
18894,1191,1
1191,17717,4
17717,18287,1
18287,16996,4
16996,12414,5
12414,17571,4
17571,3670,1
3670,13672,2
13672,2748,3
2748,1038,1
1038,16154,2
16154,3490,5
3490,19688,1
19688,2569,3
2569,18487,3
18487,14141,3
14141,14127,5
14127,8077,3
8077,1761,4
1761,9782,2
9782,14847,2
14847,4940,1
4940,14353,1
14353,16650,1
16650,3586,4
3586,1171,4
1171,7099,1
7099,19752,1
19752,4944,1
4944,6554,1
6554,9187,1
9187,15530,2
15530,12400,1
12400,11507,5
11507,12528,1
12528,5325,3
5325,4762,1
4762,295,5
295,637,3
637,3547,1
3547,6718,3
6718,4500,5
4500,14093,3
14093,19474,1
19474,13069,3
13069,11127,3
11127,8391,1
8391,2481,2
2481,9185,1
9185,13715,1
13715,17935,5
17935,7950,3
7950,8979,3
8979,12025,5
12025,7877,3
7877,8127,2
8127,527,1
527,11075,4
11075,15410,3
15410,14707,1
14707,92,1
92,2877,4
2877,10387,3
10387,12779,2
12779,16697,1
16697,5607,4
5607,14671,4
14671,11200,2
11200,11910,2
11910,3254,2
3254,961,3
961,7533,5
7533,5217,1
5217,15984,1
15984,2888,4
2888,18655,3
18655,11742,4
11742,3663,4
3663,14942,3
14942,11603,1
11603,18750,1
18750,17506,1
17506,18673,1
18673,8942,1
8942,5234,3
5234,14867,2
14867,2353,1
2353,7793,2
7793,17180,5
17180,5917,1
5917,8751,2
8751,7054,3
7054,3478,1
3478,15937,4
15937,7457,1
7457,10977,4
10977,11814,2
11814,9780,2
9780,1092,1
1092,6101,2
6101,9517,1
9517,1297,5
1297,9177,1
9177,4427,5
4427,440,1
440,8083,5
8083,5902,2
5902,17990,1
17990,5664,5
5664,4018,3
4018,19855,3
19855,15123,4
15123,4462,3
4462,5119,1
5119,10701,3
10701,18268,4
18268,1221,5
1221,3799,5
3799,13088,5
13088,19012,1
19012,11643,4
11643,8110,1
8110,2903,5
2903,15780,3
15780,17381,1
17381,18737,4
18737,5176,2
5176,14245,1
14245,12262,2
12262,9665,5
9665,4072,5
4072,18046,5
18046,12138,2
12138,9823,4
9823,12374,5
12374,10536,1
10536,2508,4
2508,10584,2
10584,9079,1
9079,10658,4
10658,16970,1
16970,10999,5
10999,13961,4
13961,16808,4
16808,10676,3
10676,5538,3
5538,18942,2
18942,18478,4
18478,10072,3
10072,10618,4
10618,824,1
824,8730,1
8730,13534,4
13534,17374,3
17374,9188,3
9188,17481,4
17481,10265,5
10265,5253,1
5253,3615,3
3615,2418,5
2418,11364,4
11364,15009,1
15009,4916,2
4916,9729,5
9729,19068,2
19068,2836,4
2836,4831,1
4831,4367,1
4367,16268,5
16268,3316,4
3316,18,1
18,18096,2
18096,5946,2
5946,4845,3
4845,15464,1
15464,8055,5
8055,5026,1
5026,4399,3
4399,10115,5
10115,11955,1
11955,19627,3
19627,1501,5
1501,13627,4
13627,10828,1
10828,7119,5
7119,325,2
325,11736,5
11736,6836,5
6836,11921,1
11921,14445,1
14445,3761,5
3761,7555,5
7555,16569,5
16569,8213,1
8213,16822,4
16822,12589,1
12589,7187,1
7187,5242,4
5242,8308,5
8308,19435,1
19435,5548,1
5548,10149,2
10149,19989,4
19989,16571,2
16571,10479,1
10479,13968,1
13968,5232,2
5232,2511,5
2511,16279,3
16279,14500,2
14500,6941,1
6941,13261,4
13261,18994,5
18994,15773,1
15773,14240,5
14240,8226,1
8226,6296,1
6296,656,4
656,10629,2
10629,13162,1
13162,6900,1
6900,4185,1
4185,11520,1
11520,18589,4
18589,13665,4
13665,11769,3
11769,2684,5
2684,6166,4
6166,5194,4
5194,19822,1
19822,11889,1
11889,3830,2
3830,6046,1
6046,16836,3
16836,4795,1
4795,17527,2
17527,18322,4
18322,16462,1
16462,7017,1
7017,18122,1
18122,17471,1
17471,739,3
739,13655,1
13655,17248,5
17248,8211,4
8211,7256,5
7256,11100,3
11100,11745,4
11745,8908,1
8908,14833,2
14833,13275,2
13275,9072,3
9072,1543,4
1543,18460,2
18460,1278,2
1278,12269,1
12269,14097,1
14097,6434,4
6434,18369,4
18369,2844,1
2844,2473,1
2473,2336,2
2336,15521,3
15521,7604,1
7604,595,1
595,14497,5
14497,2360,1
2360,16673,1
16673,13074,3
13074,16085,1
16085,14192,1
14192,15079,1
15079,10940,5
10940,10899,2
10899,6237,1
6237,16215,4
16215,2938,3
2938,1837,5
1837,12254,5
12254,8686,3
8686,10318,4
10318,1743,1
1743,8849,1
8849,12305,3
12305,17613,2
17613,9313,1
9313,10489,4
10489,9931,1
9931,11845,3
11845,8840,5
8840,6205,2
6205,7043,5
7043,13735,4
13735,12527,4
12527,2393,4
2393,11750,5
11750,4494,3
4494,1348,2
1348,11023,2
11023,10018,5
10018,4054,5
4054,1604,5
1604,11898,3
11898,3774,2
3774,2551,3
2551,684,3
684,9727,5
9727,14787,5
14787,124,1
124,4425,4
4425,847,1
847,18881,1
18881,8671,2
8671,16581,1
16581,1613,4
1613,12511,1
12511,8807,3
8807,11069,4
11069,19640,3
19640,4607,3
4607,576,1
576,7902,2
7902,15558,5
15558,18872,2
18872,943,5
943,17325,1
17325,1375,5
1375,6746,5
6746,2166,4
2166,3425,4
3425,14347,2
14347,3151,2
3151,19158,4
19158,3009,3
3009,3184,1
3184,3803,1
3803,9807,5
9807,4772,4
4772,19061,2
19061,14361,3
14361,11611,1
11611,16210,2
16210,12738,1
12738,13366,2
13366,9007,5
9007,5276,3
5276,11478,2
11478,11653,5
11653,8001,2
8001,5690,1
5690,830,2
830,8039,4
8039,6558,1
6558,704,1
704,3447,1
3447,14732,1
14732,17693,3
17693,17194,1
17194,3436,5
3436,2917,4
2917,14312,5
14312,19445,1
19445,16505,2
16505,13799,5
13799,9587,1
9587,16119,1
16119,3310,4
3310,7333,4
7333,4926,2
4926,16135,1
16135,19909,1
19909,6314,1
6314,326,5
326,18031,1
18031,17400,1
17400,11779,3
11779,16773,5
16773,14619,4
14619,4091,5
4091,17794,1
17794,392,5
392,13995,3
13995,19210,1
19210,11259,1
11259,15855,5
15855,5721,4
5721,14122,1
14122,4545,3
4545,19291,1
19291,9936,2
9936,11919,2
11919,12981,3
12981,324,1
324,1324,1
1324,3873,5
3873,16107,3
16107,15745,2
15745,17211,1
17211,16554,4
16554,18958,5
18958,2709,1
2709,3651,3
3651,16555,2
16555,750,5
750,12075,4
12075,15255,2
15255,8025,1
8025,16055,4
16055,2967,5
2967,14621,5
14621,1282,5
1282,8829,4
8829,4322,3
4322,15199,4
15199,12115,4
12115,19486,2
19486,16615,2
16615,14065,3
14065,17028,2
17028,16536,1
16536,5734,4
5734,5936,1
5936,567,1
567,5011,1
5011,14471,3
14471,18617,3
18617,11056,3
11056,9132,1
9132,401,4
401,16069,5
16069,17669,1
17669,4992,1
4992,4346,1
4346,14760,2
14760,7781,1
7781,8494,1
8494,8918,1
8918,17912,2
17912,17749,3
17749,6568,2
6568,4479,4
4479,9613,1
9613,2269,3
2269,13095,4
13095,5031,3
5031,8472,2
8472,502,3
502,15129,2
15129,4538,4
4538,2033,4
2033,7448,1
7448,18678,1
18678,18811,1
18811,817,1
817,11823,1
11823,19552,1
19552,16042,2
16042,17252,1
17252,8560,2
8560,16840,4
16840,15565,1
15565,4308,1
4308,161,4
161,15825,5
15825,1572,1
1572,6514,1
6514,14051,1
14051,13667,4
13667,12181,1
12181,2027,3
2027,14412,5
14412,11714,5
11714,12476,1
12476,13965,4
13965,13566,1
13566,9279,5
9279,7320,1
7320,7724,2
7724,17181,2
17181,16252,4
16252,2614,3
2614,18442,5
18442,9476,2
9476,5713,1
5713,6647,2
6647,10291,1
10291,4360,1
4360,10800,4
10800,7098,3
7098,15799,1
15799,13931,1
13931,3470,5
3470,14104,2
14104,19417,1
19417,15395,4
15395,4922,3
4922,4160,5
4160,6559,5
6559,10890,4
10890,11356,3
11356,8141,1
8141,17444,1
17444,6058,1
6058,210,5
210,11143,5
11143,10512,1
10512,9317,4
9317,4492,4
4492,8803,3
8803,17046,5
17046,19383,2
19383,3971,1
3971,19845,5
19845,14509,1
14509,4259,1
4259,7412,1
7412,13884,5
13884,14362,3
14362,262,5
262,16731,2
16731,4441,4
4441,9627,5
9627,18553,5
18553,2612,5
2612,5707,5
5707,16589,1
16589,12753,1
12753,15992,4
15992,2049,1
2049,6335,1
6335,10286,4
10286,14018,3
14018,11341,3
11341,10404,1
10404,18646,4
18646,14842,3
14842,14027,1
14027,5332,4
5332,15958,4
15958,13737,4
13737,11782,3
11782,17186,4
17186,13472,1
13472,2929,3
2929,13321,2
13321,13677,1
13677,4754,5
4754,15494,4
15494,2995,1
2995,11243,5
11243,12102,1
12102,16940,4
16940,15675,1
15675,6216,4
6216,15027,4
15027,9508,1
9508,15929,2
15929,19078,5
19078,2631,1
2631,5973,1
5973,6593,4
6593,168,2
168,15568,5
15568,8894,5
8894,2426,4
2426,18788,1
18788,15283,3
15283,11837,1
11837,3804,3
3804,2591,1
2591,1175,2
1175,18136,1
18136,7385,3
7385,2728,2
2728,6606,3
6606,17135,2
17135,14974,5
14974,13996,5
13996,3338,2
3338,3714,3
3714,9809,5
9809,12889,1
12889,12214,1
12214,18857,1
18857,6479,3
6479,10067,2
10067,4223,1
4223,6664,1
6664,10427,5
10427,2706,5
2706,19278,2
19278,3043,4
3043,17762,1
17762,17341,4
17341,4442,2
4442,9179,2
9179,3989,3
3989,9488,1
9488,19071,1
19071,17331,2
17331,17808,3
17808,17404,1
17404,5924,5
5924,18619,5
18619,5826,4
5826,3466,3
3466,1155,4
1155,2897,1
2897,13579,5
13579,5889,4
5889,9676,1
9676,5837,1
5837,15699,5
15699,18506,5
18506,7066,1
7066,14570,1
14570,15889,1
15889,6778,1
6778,15665,3
15665,105,1
105,19920,3
19920,3988,3
3988,13290,3
13290,2598,4
2598,1936,2
1936,18249,5
18249,2849,1
2849,19264,3
19264,3214,1
3214,15161,1
15161,6200,1
6200,4296,3
4296,16329,3
16329,15105,2
15105,4094,4
4094,8244,1
8244,12929,1
12929,9530,3
9530,12312,3
12312,19154,1
19154,18610,4
18610,6277,3
6277,19483,1
19483,3652,4
3652,16705,1
16705,10432,1
10432,5586,5
5586,14430,1
14430,5556,4
5556,13210,4
13210,3673,1
3673,18112,4
18112,3326,4
3326,14348,5
14348,497,3
497,17901,1
17901,2416,4
2416,19652,1
19652,2688,5
2688,18247,1
18247,4708,4
4708,12501,2
12501,3257,1
3257,8945,4
8945,11206,1
11206,5406,5
5406,15979,1
15979,11985,1
11985,5815,2
5815,16752,3
16752,14193,3
14193,6641,5
6641,11375,2
11375,5206,1
5206,17620,1
17620,13151,5
13151,16679,4
16679,13598,2
13598,974,2
974,4712,3
4712,14702,2
14702,4118,1
4118,5453,1
5453,18229,4
18229,13096,1
13096,18647,2
18647,8816,2
8816,3521,4
3521,19806,3
19806,7810,3
7810,6828,1
6828,4657,1
4657,16518,4
16518,11388,5
11388,19520,1
19520,14725,1
14725,7526,5
7526,6766,1
6766,2458,1
2458,4498,1
4498,4337,3
4337,19374,1
19374,5934,5
5934,11902,2
11902,16338,1
16338,13365,5
13365,11463,1
11463,710,4
710,6195,4
6195,18280,1
18280,2894,3
2894,11126,5
11126,17285,4
17285,14302,4
14302,18464,4
18464,6570,5
6570,3395,1
3395,199,1
199,16396,1
16396,15977,5
15977,9316,2
9316,17800,3
17800,13027,3
13027,6152,3
6152,9959,3
9959,5783,3
5783,5720,1
5720,3887,1
3887,18082,1
18082,17646,2
17646,2928,2
2928,6539,3
6539,2391,5
2391,12111,1
12111,6949,3
6949,2309,4
2309,4314,1
4314,388,1
388,19653,5
19653,7802,4
7802,1869,1
1869,18860,2
18860,14796,4
14796,19891,1
19891,7113,4
7113,6525,4
6525,3121,1
3121,16251,3
16251,1384,5
1384,5759,2
5759,6908,4
6908,4147,2
4147,117,3
117,7211,4
7211,2266,4
2266,18226,4
18226,9418,5
9418,16898,2
16898,5197,1
5197,5981,2
5981,8634,4
8634,7706,1
7706,1607,3
1607,12930,1
12930,335,1
335,8035,1
8035,12600,3
12600,6083,1
6083,3828,1
3828,2993,1
2993,15544,1
15544,76,2
76,994,1
994,10685,3
10685,836,3
836,371,1
371,11369,4
11369,6931,1
6931,8682,2
8682,13356,5
13356,8833,3
8833,2667,4
2667,12288,2
12288,19547,5
19547,18546,2
18546,1455,2
1455,12837,1
12837,16027,1
16027,19842,1
19842,2218,2
2218,17065,2
17065,16420,1
16420,8240,2
8240,12812,4
12812,19707,3
19707,3199,5
3199,5999,5
5999,5149,4
5149,11327,4
11327,14477,5
14477,17888,1
17888,19064,5
19064,13709,3
13709,499,3
499,18311,3
18311,18000,4
18000,9337,2
9337,16710,2
16710,9637,5
9637,17508,5
17508,6744,5
6744,9081,4
9081,14320,1
14320,11319,1
11319,3852,3
3852,4570,4
4570,6895,5
6895,9378,3
9378,19353,1
19353,11362,4
11362,8231,4
8231,10782,5
10782,14670,4
14670,18924,1
18924,16364,5
16364,17129,1
17129,3095,4
3095,18805,3
18805,13018,5
13018,11321,2
11321,2245,1
2245,16797,5
16797,19370,3
19370,4534,3
4534,4313,3
4313,16019,1
16019,7748,4
7748,17179,5
17179,1383,5
1383,9288,1
9288,11917,1
11917,16120,2
16120,6328,1
6328,17095,2
17095,14298,1
14298,2744,1
2744,7102,5
7102,14143,2
14143,4919,1
4919,8853,2
8853,2465,1
2465,18222,3
18222,14783,1
14783,8875,5
8875,12526,1
12526,5289,3
5289,16483,2
16483,6345,1
6345,16418,1
16418,9806,5
9806,1395,3
1395,17601,5
17601,6692,2
6692,1598,1
1598,15025,1
15025,18312,1
18312,13903,3
13903,8804,1
8804,15042,2
15042,14726,1
14726,12988,1
12988,6820,3
6820,6638,2
6638,9163,1
9163,3906,1
3906,2615,1
2615,14223,1
14223,3229,1
3229,4989,2
4989,1839,1
1839,19595,3
19595,10994,2
10994,17883,2
17883,19928,5
19928,4014,1
4014,11455,1
11455,14635,1
14635,10971,3
10971,9277,4
9277,15484,5
15484,19095,4
19095,8268,1
8268,10084,4
10084,12555,1
12555,12767,1
12767,9220,3
9220,2579,1
2579,10247,1
10247,121,4
121,6338,1
6338,5235,2
5235,6733,1
6733,12060,1
12060,6666,2
6666,8855,4
8855,11934,5
11934,16618,1
16618,2814,5
2814,6061,2
6061,10472,5
10472,11,1
11,19437,3
19437,3417,2
3417,17865,3
17865,4264,1
4264,1744,3
1744,9601,4
9601,13463,4
13463,15352,2
15352,4422,3
4422,11652,3
11652,3139,2
3139,5841,1
5841,6617,2
6617,577,1
577,1095,5
1095,3010,2
3010,18613,2
18613,15988,5
15988,3167,5
3167,12637,4
12637,18605,1
18605,19487,3
19487,16404,5
16404,16646,3
16646,4654,1
4654,12520,4
12520,429,3
429,4100,2
4100,9461,5
9461,13927,1
13927,18541,5
18541,11481,4
11481,5003,3
5003,6522,1
6522,13193,2
13193,13051,1
13051,11827,1
11827,11680,2
11680,17367,1
17367,19189,2
19189,10299,1
10299,7201,3
7201,17270,3
17270,6581,4
6581,4549,5
4549,11526,1
11526,14803,1
14803,495,3
495,1508,4
1508,9765,2
9765,3550,1
3550,8271,5
8271,15,1
15,4203,1
4203,14439,4
14439,11071,5
11071,19666,1
19666,13707,3
13707,4525,1
4525,12106,4
12106,13793,1
13793,569,4
569,10615,2
10615,3709,5
3709,3410,1
3410,1709,5
1709,19019,1
19019,14564,2
14564,8946,4
8946,758,2
758,17317,1
17317,6465,5
6465,252,4
252,6368,1
6368,10626,1
10626,7999,3
7999,1427,4
1427,465,5
465,10624,4
10624,1541,4
1541,1123,3
1123,17447,1
17447,6966,5
6966,8668,4
8668,11901,5
11901,3241,3
3241,17810,3
17810,13986,1
13986,11184,3
11184,9131,2
9131,7501,4
7501,12961,2
12961,19788,1
19788,7505,3
7505,11233,2
11233,14478,2
14478,15512,1
15512,14985,5
14985,11891,3
11891,10813,1
10813,7861,4
7861,7712,1
7712,17215,1
17215,950,1
950,7806,3
7806,19016,1
19016,6398,1
6398,7568,1
7568,10494,1
10494,13080,4
13080,17518,2
17518,10688,1
10688,16492,4
16492,5028,5
5028,17414,3
17414,18166,1
18166,17807,5
17807,4361,3
4361,10500,4
10500,11095,4
11095,18653,5
18653,657,1
657,160,2
160,8200,3
8200,14278,2
14278,14291,5
14291,18215,5
18215,10056,5
10056,18368,1
18368,19511,1
19511,7035,5
7035,2599,1
2599,9008,1
9008,9054,2
9054,13039,3
13039,6148,1
6148,13310,3
13310,2249,1
2249,14464,1
14464,10856,5
10856,18606,1
18606,13441,5
13441,11713,1
11713,1618,1
1618,19237,4
19237,6355,3
6355,14863,3
14863,11245,3
11245,8031,1
8031,13919,2
13919,17574,3
17574,15653,3
15653,2420,1
2420,10101,1
10101,9276,1
9276,15184,1
15184,16608,4
16608,6624,1
6624,19159,1
19159,9038,1
9038,12216,4
12216,16296,4
16296,10360,3
10360,5937,1
5937,14467,4
14467,9110,1
9110,852,4
852,10989,5
10989,14552,3
14552,2866,1
2866,19944,1
19944,1434,1
1434,9328,2
9328,85,1
85,19641,4
19641,10227,2
10227,4352,1
4352,3611,1
3611,10680,3
10680,14056,2
14056,1209,3
1209,15120,3
15120,7366,4
7366,9699,4
9699,10305,2
10305,14939,1
14939,613,4
613,19152,1
19152,15383,1
15383,12142,2
12142,5118,4
5118,1580,1
1580,18265,4
18265,17545,2
17545,8613,5
8613,1736,2
1736,11150,5
11150,17292,4
17292,15224,1
15224,10984,1
10984,14989,2
14989,3669,2
3669,12430,1
12430,3301,3
3301,19949,5
19949,17755,1
17755,8337,1
8337,1906,4
1906,9768,4
9768,1482,1
1482,9036,3
9036,4436,4
4436,17795,5
17795,16039,1
16039,15624,1
15624,3227,1
3227,13072,1
13072,7231,1
7231,18784,1
18784,16652,5
16652,16097,2
16097,13198,5
13198,9460,1
9460,19054,5
19054,12245,2
12245,14543,1
14543,14490,1
14490,12466,1
12466,19074,2
19074,3578,5
3578,16306,3
16306,14070,5
14070,14669,1
14669,1277,4
1277,8904,1
8904,10853,4
10853,10582,1
10582,14241,4
14241,5566,2
5566,2694,5
2694,18947,3
18947,1860,4
1860,4893,5
4893,10120,5
10120,10250,4
10250,3079,4
3079,4556,3
4556,10669,4
10669,10560,1
10560,7163,5
7163,5386,5
5386,13312,1
13312,4648,4
4648,2428,1
2428,3802,1
3802,6586,1
6586,17959,2
17959,16225,3
16225,7729,1
7729,8851,2
8851,445,1
445,11612,2
11612,16634,2
16634,19738,1
19738,15349,3
15349,5718,1
5718,12285,3
12285,18131,3
18131,14269,1
14269,6395,1
6395,3307,1
3307,5431,3
5431,12927,1
12927,13546,3
13546,6551,5
6551,9272,1
9272,14689,5
14689,15798,2
15798,10443,5
10443,6078,4
6078,11671,1
11671,12544,5
12544,15368,1
15368,7707,1
7707,7538,1
7538,1972,1
1972,2296,3
2296,2227,2
2227,9939,5
9939,582,1
582,7665,1
7665,3538,1
3538,2172,1
2172,19164,5
19164,9873,5
9873,6995,4
6995,18389,2
18389,19737,2
19737,12559,4
12559,18818,5
18818,18070,1
18070,13739,1
13739,6991,2
6991,10449,2
10449,10773,1
10773,19620,2
19620,4196,5
4196,6983,5
6983,34,2
34,15967,4
15967,19017,4
19017,4619,5
4619,19322,3
19322,2357,2
2357,5880,3
5880,297,1
297,10154,1
10154,6777,3
6777,18119,3
18119,17596,4
17596,17520,5
17520,1737,3
1737,18401,3
18401,10561,3
10561,5941,3
5941,10859,1
10859,3130,1
3130,5598,1
5598,609,5
609,10477,2
10477,16573,1
16573,11810,4
11810,4351,1
4351,5131,1
5131,8358,5
8358,11665,1
11665,6032,1
6032,10815,5
10815,15114,1
15114,3479,1
3479,11977,1
11977,1248,1
1248,1978,2
1978,11316,2
11316,4429,1
4429,4583,5
4583,5697,5
5697,11444,1
11444,16428,1
16428,17210,3
17210,14003,3
14003,9082,4
9082,9726,1
9726,4790,5
4790,15454,3
15454,16672,1
16672,15323,2
15323,9121,5
9121,5137,1
5137,8932,2
8932,9068,1
9068,13652,3
13652,6566,1
6566,13869,2
13869,9278,5
9278,2053,3
2053,1524,3
1524,11939,1
11939,14577,2
14577,18576,5
18576,18819,4
18819,16177,1
16177,6433,2
6433,18898,4
18898,18599,5
18599,9196,4
9196,810,1
810,8287,2
8287,10288,1
10288,3088,3
3088,18839,2
18839,3230,1
3230,17953,3
17953,14132,3
14132,9012,4
9012,2129,2
2129,6628,3
6628,4861,1
4861,6109,3
6109,18329,1
18329,12016,2
12016,9128,3
9128,140,4
140,5559,4
5559,7124,1
7124,8879,5
8879,5067,5
5067,17806,2
17806,8954,1
8954,13830,1
13830,15094,1
15094,10897,1
10897,4096,5
4096,17908,3
17908,3367,3
3367,14234,2
14234,5116,3
5116,15858,1
15858,8567,1
8567,948,1
948,3295,4
3295,19433,1
19433,6697,2
6697,16544,1
16544,19025,1
19025,13485,1
13485,1801,1
1801,18661,1
18661,2299,1
2299,15594,5
15594,17962,4
17962,10158,4
10158,15910,5
15910,11875,2
11875,2852,5
2852,10137,2
10137,18457,3
18457,15693,4
15693,15543,5
15543,12809,1
12809,11088,4
11088,629,5
629,4126,2
4126,7444,1
7444,1034,2
1034,358,1
358,17564,5
17564,15097,1
15097,2525,3
2525,13127,2
13127,19994,1
19994,8094,1
8094,6658,2
6658,19010,4
19010,19607,1
19607,7303,4
7303,16502,1
16502,3044,1
3044,16984,5
16984,4471,3
4471,10792,3
10792,15824,2
15824,5852,2
5852,16947,1
16947,5462,1
5462,1966,2
1966,7425,1
7425,2671,4
2671,9480,4
9480,11155,1
11155,11300,1
11300,2067,4
2067,1286,3
1286,8781,5
8781,14423,2
14423,13732,5
13732,17838,4
17838,7232,3
7232,130,5
130,10169,1
10169,2040,4
2040,8302,1
8302,1452,3
1452,3884,2
3884,10956,1
10956,3146,1
3146,1713,3
1713,14077,1
14077,5806,2
5806,9560,3
9560,14716,3
14716,6431,1
6431,13800,1
13800,1086,3
1086,10073,3
10073,18439,1
18439,5833,4
5833,4801,1
4801,14015,5
14015,12745,3
12745,1571,1
1571,10616,1
10616,5860,1
5860,19059,5
19059,3686,2
3686,5960,1
5960,2546,1
2546,8929,1
8929,11988,2
11988,3324,1
3324,18461,2
18461,19759,1
19759,12276,3
12276,2055,1
2055,13956,5
13956,9251,2
9251,1122,1
1122,13473,4
13473,16756,1
16756,7542,5
7542,13315,3
13315,3285,1
3285,10948,3
10948,8119,4
8119,624,3
624,19935,1
19935,7417,2
7417,621,1
621,14144,1
14144,14791,1
14791,3977,3
3977,313,4
313,407,3
407,7636,1
7636,16402,1
16402,15862,5
15862,6308,4
6308,10348,5
10348,7297,2
7297,8791,1
8791,14932,1
14932,18377,1
18377,19959,1
19959,12286,5
12286,7003,1
7003,9319,5
9319,19356,1
19356,19376,1
19376,5214,1
5214,3718,4
3718,12805,4
12805,19975,1
19975,9275,1
9275,3154,5
3154,13154,3
13154,6055,5
6055,10239,1
10239,11241,1
11241,363,2
363,4601,1
4601,17927,1
17927,15145,4
15145,17227,1
17227,757,3
757,4769,1
4769,2094,2
2094,2874,4
2874,1190,1
1190,15109,5
15109,1956,5
1956,13804,5
13804,2074,1
2074,2603,5
2603,12677,1
12677,10915,1
10915,8257,1
8257,14342,1
14342,12433,2
12433,4197,1
4197,18409,1
18409,10530,4
10530,15315,1
15315,10702,3
10702,15705,1
15705,11606,1
11606,9546,3
9546,10421,1
10421,2804,2
2804,15394,5
15394,15584,5
15584,4409,4
4409,4020,4
4020,15642,1
15642,4748,4
4748,18746,3
18746,8993,1
8993,3685,1
3685,3387,2
3387,6136,2
6136,19373,5
19373,6779,2
6779,16198,2
16198,17864,5
17864,15125,4
15125,16105,3
16105,4317,1
4317,13070,1
13070,12059,2
12059,18851,1
18851,15313,2
15313,9330,1
9330,1085,1
1085,578,2
578,10687,3
10687,7798,2
7798,2149,3
2149,7057,1
7057,1863,1
1863,1397,1
1397,16373,4
16373,15178,3
15178,7596,2
7596,573,1
573,3376,3
3376,4133,3
4133,9654,3
9654,12807,3
12807,6489,1
6489,14275,1
14275,2769,4
2769,13486,5
13486,13929,1
13929,2273,1
2273,18052,1
18052,1937,2
1937,3594,4
3594,10010,4
10010,11935,4
11935,18279,1
18279,5500,2
5500,4490,4
4490,10900,3
10900,4075,2
4075,689,3
689,14922,1
14922,4395,1
4395,14443,4
14443,18475,1
18475,4165,2
4165,7265,1
7265,19821,1
19821,9065,4
9065,16810,4
16810,7276,5
7276,1363,3
1363,6959,1
6959,7074,3
7074,12963,5
12963,4841,1
4841,14343,4
14343,17434,5
17434,16386,3
16386,1264,1
1264,800,5
800,7768,4
7768,11287,3
11287,1068,3
1068,14041,2
14041,10146,4
10146,6490,2
6490,6322,5
6322,2041,1
2041,18548,4
18548,8648,1
8648,13341,1
13341,6353,3
6353,10342,1
10342,9932,4
9932,8619,1
8619,7237,3
7237,9178,3
9178,10947,5
10947,16819,1
16819,6480,1
6480,5764,1
5764,11252,5
11252,2314,3
2314,15557,1
15557,7567,4
7567,17973,4
17973,6347,4
6347,16109,4
16109,16365,1
